name,sy_snum,sy_pnum,disc_method,disc_year,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,st_rad,st_mass,sy_dist
11 Com b,2,1,Radial Velocity,2007,Published Confirmed,326.03,1.29,,,0.231,19,2.7,93.1846
11 Com b,2,1,Radial Velocity,2007,Published Confirmed,,1.21,,,,,2.6,93.1846
11 UMi b,1,1,Radial Velocity,2009,Published Confirmed,516.21997,1.53,,,0.08,29.79,2.78,125.321
11 UMi b,1,1,Radial Velocity,2009,Published Confirmed,516.22,1.54,,,0.08,24.08,1.8,125.321
11 UMi b,1,1,Radial Velocity,2009,Published Confirmed,,1.51,,,,,1.7,125.321
14 And b,1,1,Radial Velocity,2008,Published Confirmed,185.84,0.83,,,0,11,2.2,75.4392
14 And b,1,1,Radial Velocity,2008,Published Confirmed,,0.68,,,,,1.2,75.4392
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,,2.73,,,0.357,,0.9,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1773.40002,2.93,,,0.37,0.93,0.9,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1766.41,2.83,,,0.3674,1,0.97,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1724,2.82,,,0.37,,1,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1796.4,2.8,,,0.338,,0.9,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1766,2.864,,,0.359,1,0.91,17.9323
14 Her b,1,2,Radial Velocity,2002,Published Confirmed,1773.4,2.77,,,0.369,,,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,799.5,1.68,,,0.689,1.13,1.03,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,798.5,1.66,,,0.68,1.13,1.08,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,800.8,1.6,,,0.634,,1,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,799.5,1.68,,,0.689,,,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,798.5,1.681,,,0.681,,0.99,21.1397
16 Cyg B b,3,1,Radial Velocity,1996,Published Confirmed,799.45,1.676,,,0.6832,1.16,0.98,21.1397
